student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_year,placement_status,package_lpa,company_name,has_internship,has_certification,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,student_intervention,intervention_priority,eligible_for_shortlist
9574,Male,24,BCA,Information Technology,6.65,3,1,0,1,2,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,3,51.5,1.36,78.1,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
6328,Male,24,BTech,Computer Science,5.95,3,1,0,2,7,1,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,9,44.5,4.68,59.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
11753,Male,22,BE,Data Science,5.95,2,0,3,2,5,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,7,49.5,4.58,59.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
2132,Male,22,BSc,Artificial Intelligence,8.61,3,0,0,1,7,0,No,No,2020,Not Placed,0.0,Unplaced,0,0,8,71.1,2.14,59.3,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
10493,Male,24,BCA,Electrical Engineering,6.3,2,0,2,2,5,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,7,53.0,3.92,59.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
9121,Female,22,BCA,Data Science,8.3,3,0,5,2,3,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,5,68.0,4.82,59.2,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
10589,Male,22,BTech,Information Technology,5.98,2,0,2,1,7,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,8,49.800000000000004,4.19,59.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6271,Female,24,BE,Computer Science,6.16,3,0,3,3,6,1,No,Yes,2019,Placed,6.35,Tech Mahindra,0,1,9,46.6,5.16,59.0,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
11955,Male,21,BE,Artificial Intelligence,5.68,3,2,4,1,5,0,Yes,Yes,2021,Not Placed,0.0,Unplaced,1,1,6,41.8,7.37,58.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
6761,Female,23,BSc,Artificial Intelligence,5.85,3,1,1,2,8,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,10,43.5,4.64,58.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
10578,Male,23,BSc,Data Science,6.19,3,1,5,1,6,0,Yes,Yes,2024,Not Placed,0.0,Unplaced,1,1,7,46.900000000000006,6.78,58.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
11287,Male,22,BE,Mechanical Engineering,5.53,3,2,3,1,6,0,Yes,Yes,2019,Not Placed,0.0,Unplaced,1,1,7,40.300000000000004,6.91,58.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
2595,Male,24,BTech,Information Technology,5.54,3,1,4,1,8,0,Yes,Yes,2021,Not Placed,0.0,Unplaced,1,1,9,40.4,6.52,58.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
10789,Female,23,BTech,Computer Science,5.54,3,3,0,2,4,0,Yes,No,2019,Not Placed,0.0,Unplaced,1,0,6,40.4,6.12,58.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
10879,Female,21,BTech,Computer Science,5.87,3,0,5,3,4,2,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,7,43.7,7.05,58.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
2090,Male,24,BTech,Data Science,6.71,3,0,1,2,9,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,11,52.099999999999994,3.38,58.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
9810,Male,23,BSc,Information Technology,8.21,3,0,3,1,6,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,7,67.10000000000001,3.98,58.7,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
11843,Male,23,BSc,Data Science,6.9,3,0,4,1,8,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,9,54.0,5.06,58.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
5692,Male,24,BTech,Computer Science,5.91,3,1,3,3,4,1,Yes,Yes,2022,Not Placed,0.0,Unplaced,1,1,7,44.1,6.26,58.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7677,Female,24,BTech,Information Technology,5.94,3,2,0,2,6,0,Yes,No,2021,Not Placed,0.0,Unplaced,1,0,8,44.400000000000006,5.08,58.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
6840,Male,24,BSc,Artificial Intelligence,6.26,3,0,5,2,6,1,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,8,47.599999999999994,6.4,58.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
2101,Male,24,BCA,Electrical Engineering,6.77,3,0,0,4,7,0,No,No,2019,Not Placed,0.0,Unplaced,0,0,11,52.69999999999999,2.61,58.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
10593,Male,24,BE,Artificial Intelligence,7.94,3,0,2,1,6,1,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,7,64.4,4.28,58.4,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
2331,Female,23,BSc,Computer Science,5.61,3,0,3,3,6,2,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,9,41.1,6.14,58.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8076,Male,21,BSc,Mechanical Engineering,5.78,3,1,1,2,7,1,Yes,Yes,2024,Not Placed,0.0,Unplaced,1,1,9,42.800000000000004,5.41,58.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
1488,Male,24,BTech,Mechanical Engineering,8.62,3,0,1,2,4,1,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,6,71.19999999999999,3.35,58.3,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4802,Male,21,BTech,Data Science,5.96,2,0,0,2,6,1,No,No,2020,Not Placed,0.0,Unplaced,0,0,8,49.6,3.78,58.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
4318,Female,23,BE,Mechanical Engineering,6.3,3,0,4,1,8,1,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,9,48.0,6.02,58.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8667,Female,20,BCA,Mechanical Engineering,5.81,3,0,4,4,5,1,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,9,43.099999999999994,5.82,58.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
10058,Male,24,BSc,Electrical Engineering,6.99,3,0,2,5,4,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,9,54.900000000000006,3.5,58.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
1538,Female,23,BE,Information Technology,7.34,3,1,2,1,6,0,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,7,58.400000000000006,4.84,58.0,Medium,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Monitor,0
7667,Male,21,BTech,Mechanical Engineering,5.51,2,1,3,1,5,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,6,45.099999999999994,6.0,57.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
11479,Male,22,BTech,Mechanical Engineering,6.52,3,0,0,4,5,2,No,No,2019,Not Placed,0.0,Unplaced,0,0,9,50.19999999999999,4.11,57.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
1184,Female,24,BE,Electrical Engineering,6.69,3,2,3,1,4,0,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,5,51.900000000000006,6.58,57.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
8288,Female,22,BCA,Information Technology,7.51,3,0,5,2,5,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,7,60.099999999999994,5.3,57.9,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
10969,Female,24,BTech,Electrical Engineering,7.85,3,0,1,1,7,1,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,63.5,3.84,57.9,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4588,Male,21,BE,Artificial Intelligence,8.01,3,0,1,1,8,0,No,Yes,2022,Placed,6.21,Tech Mahindra,0,1,9,65.1,3.1,57.9,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
2884,Male,24,BCA,Mechanical Engineering,5.53,3,2,0,2,7,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,9,40.300000000000004,5.31,57.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
